Account,City,State,Property Type,Servicer,Servicer Type,Loan Type,UnPaid Balance,0,30,60,90,REO,Current Prop Value,LTV,Avg OEP,Unemployment,Avg Values,Inventory,Days on Market
ACCT_38,Albuquerque,NM,MF,Chase,Bank,FR,192172,,1,,,,196481,$0.98,0.02,7.20%,"$187,345","24,341",240
ACCT_39,Albuquerque,NM,SFA,National City,Bank,FR,150121,,1,,,,101982,$1.47,-0.47,6.30%,"$176,891","36,800",145
ACCT_40,Albuquerque,NM,SFA,EDS CU,Credit Union,FR,325924,,,1,,,310281,$1.05,-0.05,6.30%,"$176,891","36,800",145
ACCT_41,Albuquerque,NM,SFA,PHH,Mtg Company,ARM,250638,1,,,,,275977,$0.91,0.09,7.10%,"$224,700","22,781",120
ACCT_42,Albuquerque,NM,SFA,Chase,Bank,FR,240287,1,,,,,296515,$0.81,0.19,6.30%,"$176,891","36,800",145
ACCT_43,Albuquerque,NM,SFA,Chase,Bank,FR,150121,,1,,1,,101982,$1.47,-0.47,10.60%,"$43,125","15,373",197
ACCT_44,Albuquerque,NM,MF,PHH,Mtg Company,FR,550000,,,1,,,449533,$1.22,-0.22,6.30%,"$176,891","36,800",145
ACCT_45,Albuquerque,NM,CO,Wells,Bank,FR,192172,,,1,,,169000,$1.14,-0.14,7.20%,"$187,345","24,341",240
ACCT_46,Albuquerque,NM,CO,EDS CU,Credit Union,FR,150121,,,,1,,101982,$1.47,-0.47,6.30%,"$176,891","36,800",145
ACCT_47,Albuquerque,NM,MF,EDS CU,Credit Union,ARM,550000,,,1,,,449533,$1.22,-0.22,6.30%,"$176,891","36,800",145
ACCT_48,Albuquerque,NM,MF,National City,Bank,ARM,250638,1,,,,,275977,$0.91,0.09,7.10%,"$224,700","22,781",120
ACCT_49,Albuquerque,NM,CO,Chase,Bank,FR,240287,,,,,1,296515,$0.81,0.19,6.30%,"$176,891","36,800",145
ACCT_50,Albuquerque,NM,MF,Fifth Third,Thrift,FR,150121,1,,,,,200000,$0.75,0.25,7.20%,"$187,345","24,341",240
ACCT_51,Albuquerque,NM,SFA,Fifth Third,Thrift,FR,550000,1,,,,,650000,$0.85,0.15,6.30%,"$176,891","36,800",145
ACCT_52,Albuquerque,nm,SFA,BofA,Bank,ARM,192172,,,1,,,171171,$1.12,-0.12,6.30%,"$176,891","36,800",145
ACCT_53,Albuquerque,NM,SFA,EDS CU,Credit Union,FR,150121,1,,,,,230000,$0.65,0.35,7.10%,"$224,700","22,781",120
ACCT_54,Albuquerque,nm,SFA,First Horizon,Mtg Company,FR,550000,,1,,,,545545,$1.01,-0.01,6.30%,"$176,891","36,800",145
ACCT_55,Albuquerque,NM,SFA,First Horizon,Mtg Company,FR,250638,1,,,,,275977,$0.91,0.09,10.60%,"$43,125","15,373",197
ACCT_56,Albuquerque,Nm,MF,Wells,Bank,FR,240287,,,1,,,200000,$1.20,-0.2,6.30%,"$176,891","36,800",145
ACCT_57,Albuquerque,Nm,CO,Fifth Third,Thrift,FR,325924,1,,,,,340000,$0.96,0.04,7.20%,"$187,345","24,341",240
ACCT_58,Albuquerque,Nm,CO,PHH,Mtg Company,ARM,550000,,,,1,,449533,$1.22,-0.22,6.30%,"$176,891","36,800",145
ACCT_59,Albuquerque,Nm,MF,PHH,Mtg Company,ARM,192172,,1,,,,175123,$1.10,-0.1,6.30%,"$176,891","36,800",145
ACCT_60,Albuquerque,NM,MF,Chase,Bank,FR,192172,,,1,,,170000,$1.13,-0.13,7.10%,"$224,700","22,781",120
ACCT_61,Albuquerque,NM,CO,First Horizon,Mtg Company,FR,240287,,,1,,,200000,$1.20,-0.2,6.30%,"$176,891","36,800",145
ACCT_62,Albuquerque,NM,MF,Wells,Bank,FR,192172,,1,,,,175000,$1.10,-0.1,7.20%,"$187,345","24,341",240
ACCT_63,Albuquerque,NM,SFA,First Horizon,Mtg Company,ARM,240287,1,,,,,296515,$0.81,0.19,6.30%,"$176,891","36,800",145
ACCT_64,Albuquerque,NM,SFA,BofA,Bank,FR,150121,,1,,1,,145000,$1.04,-0.04,6.30%,"$176,891","36,800",145
ACCT_65,Albuquerque,NM,SFA,BofA,Bank,FR,550000,,,1,,,475000,$1.16,-0.16,7.10%,"$224,700","22,781",120
ACCT_66,Albuquerque,NM,SFA,Chase,Bank,FR,192172,,,1,,1,180000,$1.07,-0.07,6.30%,"$176,891","36,800",145
ACCT_67,Albuquerque,NM,SFA,PHH,Mtg Company,FR,150121,,1,,,,175000,$0.86,0.14,10.60%,"$43,125","15,373",197
ACCT_68,Albuquerque,NM,MF,Wells,Bank,FR,550000,1,,,,,700000,$0.79,0.21,6.30%,"$176,891","36,800",145
ACCT_69,Albuquerque,NM,CO,Wells,Bank,ARM,250638,1,,,,,275977,$0.91,0.09,7.20%,"$187,345","24,341",240
ACCT_70,Albuquerque,NM,CO,EDS CU,Credit Union,ARM,240287,,,,,1,296515,$0.81,0.19,6.30%,"$176,891","36,800",145
ACCT_71,Albuquerque,NM,MF,National City,Bank,FR,150121,,,,1,,101982,$1.47,-0.47,6.30%,"$176,891","36,800",145
ACCT_72,Albuquerque,NM,MF,Chase,Bank,FR,550000,1,,,,,500000,$1.10,-0.1,7.10%,"$224,700","22,781",120
ACCT_73,Albuquerque,NM,CO,Chase,Bank,FR,192172,,,1,,,165000,$1.17,-0.16,6.30%,"$176,891","36,800",145
ACCT_74,Albuquerque,NM,MF,Fifth Third,Thrift,ARM,150121,,,,1,,120000,$1.25,-0.25,7.20%,"$187,345","24,341",240
ACCT_75,Albaquerque,NM,SFA,BofA,Bank,FR,550000,,,1,,,470000,$1.17,-0.17,6.30%,"$176,891","36,800",145
ACCT_76,Albuquerque,NM,SFA,EDS CU,Credit Union,FR,250638,1,,,,,275977,$0.91,0.09,6.30%,"$176,891","36,800",145
ACCT_77,Albuquerque,NM,SFA,EDS CU,Credit Union,FR,240287,1,,,,,296515,$0.81,0.19,7.10%,"$224,700","22,781",120
ACCT_78,Albuquerque,NM,SFA,First Horizon,Mtg Company,FR,325924,,,1,,,310281,$1.05,-0.05,6.30%,"$176,891","36,800",145
ACCT_79,Albuquerque,NM,SFA,Wells,Bank,FR,550000,,,,1,,449533,$1.22,-0.22,10.60%,"$43,125","15,373",197
ACCT_560,Dallas,TX,CO,Wells,Bank,ARM,150121,,1,,,,101982,$1.47,-0.47,10.60%,"$43,125","15,373",197
ACCT_561,Dallas,TX,SFA,Wells,Bank,ARM,550000,,,,1,,449533,$1.22,-0.22,7.10%,"$224,700","22,781",120
ACCT_562,Dallas,TX,SFA,PHH,Mtg Company,ARM,192172,,,1,,,160000,$1.20,-0.2,10.60%,"$43,125","15,373",197
ACCT_563,Dallas,TX,SFA,PHH,Mtg Company,FR,240287,1,,,,,296515,$0.81,0.19,10.60%,"$43,125","15,373",197
ACCT_564,Dallis,TX,SFA,Chase,Bank,FR,325924,,,1,,,310281,$1.05,-0.05,7.20%,"$187,345","24,341",240
ACCT_565,Dallas,TX,SFA,First Horizon,Mtg Company,ARM,250638,1,,,,,275977,$0.91,0.09,10.60%,"$43,125","15,373",197
ACCT_566,Dallas,TX,CO,National City,Bank,FR,192172,,,1,,,196481,$0.98,0.02,7.10%,"$224,700","22,781",120
ACCT_567,Dallas,TX,MF,National City,Bank,FR,150121,,1,,,,101982,$1.47,-0.47,10.60%,"$43,125","15,373",197
ACCT_568,Dallas,TX,MF,EDS CU,Credit Union,FR,550000,,,,1,,449533,$1.22,-0.22,10.60%,"$43,125","15,373",197
ACCT_569,Dallas,TX,CO,PHH,Mtg Company,FR,192172,,1,,,,196481,$0.98,0.02,10.60%,"$43,125","15,373",197
ACCT_570,Dallas,TX,MF,BofA,Bank,FR,150121,,1,,,,101982,$1.47,-0.47,10.60%,"$43,125","15,373",197
ACCT_571,Dallas,TX,MF,BofA,Bank,ARM,325924,1,,,,,310281,$1.05,-0.05,6.30%,"$176,891","36,800",145
ACCT_572,Dallas,TX,CO,Fifth Third,Thrift,ARM,250638,1,,,,,275977,$0.91,0.09,10.60%,"$43,125","15,373",197
ACCT_573,Dallas,TX,SFA,National City,Bank,ARM,240287,1,,,,,296515,$0.81,0.19,7.10%,"$224,700","22,781",120
ACCT_574,Dallas,TX,SFA,Wells,Bank,FR,150121,,1,,1,,101982,$1.47,-0.47,10.60%,"$43,125","15,373",197
ACCT_575,Dallas,TX,SFA,First Horizon,Mtg Company,FR,550000,,,1,,,449533,$1.22,-0.22,10.60%,"$43,125","15,373",197
ACCT_576,Dallas,TX,SFA,First Horizon,Mtg Company,ARM,192172,,,1,,,196481,$0.98,0.02,7.20%,"$187,345","24,341",240
ACCT_577,Dalles,Tx,SFA,BofA,Bank,FR,150121,,,,1,,101982,$1.47,-0.47,10.60%,"$43,125","15,373",197
ACCT_578,Dallas,TX,CO,Chase,Bank,FR,550000,,,1,,,449533,$1.22,-0.22,7.10%,"$224,700","22,781",120
ACCT_579,Dallas,TX,MF,PHH,Mtg Company,FR,250638,1,,,,,275977,$0.91,0.09,10.60%,"$43,125","15,373",197
ACCT_580,Dallas,tx,MF,PHH,Mtg Company,FR,240287,,,,,1,296515,$0.81,0.19,10.60%,"$43,125","15,373",197
ACCT_581,Dallas,TX,CO,Wells,Bank,FR,150121,1,,,,,200000,$0.75,0.25,10.60%,"$43,125","15,373",197
ACCT_582,Dallas,TX,MF,First Horizon,Mtg Company,ARM,550000,1,,,,,650000,$0.85,0.15,10.60%,"$43,125","15,373",197
ACCT_583,Dallas,TX,MF,Wells,Bank,ARM,192172,1,,,,,196481,$0.98,0.02,6.30%,"$176,891","36,800",145
ACCT_584,Dallas,Tx,CO,Fifth Third,Thrift,ARM,150121,1,,,,,230000,$0.65,0.35,10.60%,"$43,125","15,373",197
ACCT_585,Dallas,TX,SFA,Fifth Third,Thrift,FR,550000,,1,,,,555000,$0.99,0.01,7.10%,"$224,700","22,781",120
ACCT_586,Dallas,TX,SFA,PHH,Mtg Company,FR,250638,1,,,,,275977,$0.91,0.09,10.60%,"$43,125","15,373",197
ACCT_587,Dallas,Tx,SFA,Chase,Bank,ARM,240287,,,,,1,296515,$0.81,0.19,10.60%,"$43,125","15,373",197
ACCT_588,Dallas,Tx,SFA,First Horizon,Mtg Company,FR,325924,1,,,,,340000,$0.96,0.04,7.20%,"$187,345","24,341",240
ACCT_589,Dallas,Tx,SFA,First Horizon,Mtg Company,FR,550000,,,,1,,449533,$1.22,-0.22,10.60%,"$43,125","15,373",197
ACCT_590,Dallas,Tx,CO,National City,Bank,FR,192172,,1,,,,196481,$0.98,0.02,7.10%,"$224,700","22,781",120
ACCT_591,Dallas,Tx,MF,EDS CU,Credit Union,FR,150121,1,,,,,215000,$0.70,0.3,10.60%,"$43,125","15,373",197
ACCT_592,Dallas,Tx,MF,PHH,Mtg Company,FR,550000,1,,,,,800000,$0.69,0.31,10.60%,"$43,125","15,373",197
ACCT_593,Dallas,TX,CO,PHH,Mtg Company,ARM,192172,1,,,,,196481,$0.98,0.02,10.60%,"$43,125","15,373",197
ACCT_594,Dallas,TX,MF,BofA,Bank,ARM,240287,1,,,,,296515,$0.81,0.19,10.60%,"$43,125","15,373",197
ACCT_595,Dallas,TX,MF,Fifth Third,Thrift,ARM,150121,,1,,1,,160000,$0.94,0.06,6.30%,"$176,891","36,800",145
ACCT_596,Dallas,TX,CO,National City,Bank,FR,550000,,,1,,,650000,$0.85,0.15,10.60%,"$43,125","15,373",197
ACCT_597,Dallas,TX,SFA,National City,Bank,FR,192172,,,1,,1,196481,$0.98,0.02,7.10%,"$224,700","22,781",120
ACCT_598,Dallas,TX,SFA,Wells,Bank,ARM,150121,,1,,,,175000,$0.86,0.14,10.60%,"$43,125","15,373",197
ACCT_599,Dallas,TX,SFA,First Horizon,Mtg Company,FR,550000,1,,,,,700000,$0.79,0.21,10.60%,"$43,125","15,373",197
ACCT_600,Dallas,TX,SFA,BofA,Bank,FR,250638,1,,,,,275977,$0.91,0.09,7.20%,"$187,345","24,341",240
ACCT_601,Dallas,TX,SFA,BofA,Bank,FR,240287,,,,,1,296515,$0.81,0.19,10.60%,"$43,125","15,373",197
ACCT_602,Dallas,TX,CO,Fifth Third,Thrift,FR,150121,,,,1,,101982,$1.47,-0.47,7.10%,"$224,700","22,781",120
ACCT_603,Dallas,TX,MF,BofA,Bank,FR,550000,1,,,,,555555,$0.99,0.01,10.60%,"$43,125","15,373",197
ACCT_604,Dallas,TX,MF,EDS CU,Credit Union,ARM,192172,1,,,,,196481,$0.98,0.02,10.60%,"$43,125","15,373",197
ACCT_605,Dallas,TX,CO,First Horizon,Mtg Company,ARM,150121,,1,,1,,210000,$0.72,0.29,10.60%,"$43,125","15,373",197
ACCT_606,Dallas,TX,MF,First Horizon,Mtg Company,ARM,550000,,,1,,,605000,$0.91,0.09,10.60%,"$43,125","15,373",197
ACCT_607,Dallas,TX,MF,Wells,Bank,FR,250638,1,,,,,275977,$0.91,0.09,6.30%,"$176,891","36,800",145
ACCT_608,Dallas,TX,CO,Fifth Third,Thrift,FR,240287,,,,,1,296515,$0.81,0.19,10.60%,"$43,125","15,373",197
ACCT_609,Dallas,TX,SFA,PHH,Mtg Company,ARM,325924,,,1,,,310281,$1.05,-0.05,7.10%,"$224,700","22,781",120
ACCT_610,Dallas,TX,SFA,PHH,Mtg Company,FR,550000,,,,1,,449533,$1.22,-0.22,10.60%,"$43,125","15,373",197
ACCT_611,Dallas,TX,SFA,Chase,Bank,FR,192172,,,1,,,196481,$0.98,0.02,10.60%,"$43,125","15,373",197
ACCT_612,Dallas,TX,SFA,First Horizon,Mtg Company,FR,150121,1,,,,,210000,$0.72,0.29,7.20%,"$187,345","24,341",240
ACCT_613,Dallas,TX,SFA,National City,Bank,FR,550000,1,,,,,570200,$0.97,0.04,10.60%,"$43,125","15,373",197
ACCT_614,Dallas,TX,CO,National City,Bank,FR,192172,1,,,,,196481,$0.98,0.02,7.10%,"$224,700","22,781",120
ACCT_615,Dallas,TX,MF,EDS CU,Credit Union,ARM,240287,1,,,,,296515,$0.81,0.19,10.60%,"$43,125","15,373",197
ACCT_616,Dallas,TX,MF,PHH,Mtg Company,ARM,325924,,1,,,,219316,$1.49,-0.49,10.60%,"$43,125","15,373",197
ACCT_617,Dallas,TX,CO,BofA,Bank,ARM,250638,1,,,,,275977,$0.91,0.09,10.60%,"$43,125","15,373",197
ACCT_618,Dallas,TX,MF,BofA,Bank,FR,192172,,1,,,,196481,$0.98,0.02,10.60%,"$43,125","15,373",197
ACCT_619,Dallas,TX,MF,Fifth Third,Thrift,FR,150121,,1,,,,101982,$1.47,-0.47,6.30%,"$176,891","36,800",145
ACCT_620,Dallas,TX,CO,National City,Bank,ARM,550000,,,,1,,449533,$1.22,-0.22,10.60%,"$43,125","15,373",197
ACCT_621,Dallas,TX,SFA,EDS CU,Credit Union,FR,192172,,,1,,,160000,$1.20,-0.2,7.10%,"$224,700","22,781",120
ACCT_622,Dallas,TX,SFA,National City,Bank,FR,240287,1,,,,,296515,$0.81,0.19,10.60%,"$43,125","15,373",197
ACCT_623,Dallas,TX,SFA,National City,Bank,FR,325924,,,1,,,310281,$1.05,-0.05,10.60%,"$43,125","15,373",197
ACCT_624,Dallas,TX,SFA,Chase,Bank,FR,250638,1,,,,,275977,$0.91,0.09,7.20%,"$187,345","24,341",240
ACCT_625,Dullas,TX,SFA,Fifth Third,Thrift,FR,192172,,,1,,,196481,$0.98,0.02,10.60%,"$43,125","15,373",197
ACCT_626,Dallas,TX,CO,BofA,Bank,ARM,150121,,1,,,,101982,$1.47,-0.47,7.10%,"$224,700","22,781",120
ACCT_627,Dallas,TX,MF,BofA,Bank,ARM,550000,,,,1,,449533,$1.22,-0.22,10.60%,"$43,125","15,373",197
ACCT_628,Dallas,TX,MF,EDS CU,Credit Union,ARM,192172,,1,,,,196481,$0.98,0.02,10.60%,"$43,125","15,373",197
ACCT_629,Dallas,TX,CO,First Horizon,Mtg Company,FR,150121,,1,,,,101982,$1.47,-0.47,10.60%,"$43,125","15,373",197
ACCT_630,Dallas,TX,MF,Wells,Bank,FR,325924,1,,,,,310281,$1.05,-0.05,10.60%,"$43,125","15,373",197
ACCT_631,DALLAS,TX,MF,Wells,Bank,ARM,250638,1,,,,,275977,$0.91,0.09,6.30%,"$176,891","36,800",145
ACCT_632,DALLAS,TX,CO,Fifth Third,Thrift,FR,240287,1,,,,,296515,$0.81,0.19,10.60%,"$43,125","15,373",197
ACCT_633,DALLAS,TX,SFA,PHH,Mtg Company,FR,150121,,1,,1,,101982,$1.47,-0.47,7.10%,"$224,700","22,781",120
ACCT_634,Dallas,TX,SFA,Chase,Bank,FR,550000,,,1,,,449533,$1.22,-0.22,10.60%,"$43,125","15,373",197
ACCT_635,Dallas,TX,SFA,First Horizon,Mtg Company,FR,192172,,,1,,,196481,$0.98,0.02,10.60%,"$43,125","15,373",197
ACCT_636,Dallas,TX,SFA,First Horizon,Mtg Company,FR,150121,,,,1,,101982,$1.47,-0.47,7.20%,"$187,345","24,341",240
ACCT_637,Dallas,TX,SFA,National City,Bank,ARM,550000,,,1,,,449533,$1.22,-0.22,10.60%,"$43,125","15,373",197
ACCT_638,Dallas,TX,CO,EDS CU,Credit Union,ARM,250638,1,,,,,275977,$0.91,0.09,7.10%,"$224,700","22,781",120
ACCT_875,Houston,TX,MF,Chase,Bank,ARM,550000,,,1,,,449533,$1.22,-0.22,7.10%,"$224,700","22,781",120
ACCT_876,Houston,TX,CO,Chase,Bank,ARM,250638,1,,,,,275977,$0.91,0.09,6.30%,"$176,891","36,800",145
ACCT_877,Houston,TX,CO,National City,Bank,ARM,240287,,,,,1,296515,$0.81,0.19,7.10%,"$224,700","22,781",120
ACCT_878,Houston,TX,CO,National City,Bank,FR,150121,1,,,,,200000,$0.75,0.25,7.10%,"$224,700","22,781",120
ACCT_879,Houston,TX,CO,EDS CU,Credit Union,FR,550000,1,,,,,650000,$0.85,0.15,10.60%,"$43,125","15,373",197
ACCT_880,Houston,TX,CO,PHH,Mtg Company,ARM,192172,1,,,,,196481,$0.98,0.02,7.10%,"$224,700","22,781",120
ACCT_881,Houston,TX,MF,BofA,Bank,FR,150121,1,,,,,230000,$0.65,0.35,7.20%,"$187,345","24,341",240
ACCT_882,Houston,TX,SFA,BofA,Bank,FR,550000,,1,,,,555000,$0.99,0.01,7.10%,"$224,700","22,781",120
ACCT_883,Houston,TX,SFA,Fifth Third,Thrift,FR,250638,1,,,,,275977,$0.91,0.09,7.10%,"$224,700","22,781",120
ACCT_884,Houston,TX,MF,National City,Bank,FR,240287,,,,,1,296515,$0.81,0.19,7.10%,"$224,700","22,781",120
ACCT_885,Houston,TX,SFA,Wells,Bank,FR,325924,1,,,,,340000,$0.96,0.04,7.10%,"$224,700","22,781",120
ACCT_886,Houston,TX,SFA,First Horizon,Mtg Company,ARM,550000,,,,1,,449533,$1.22,-0.22,7.20%,"$187,345","24,341",240
ACCT_887,Houston,TX,MF,First Horizon,Mtg Company,ARM,192172,,1,,,,196481,$0.98,0.02,7.10%,"$224,700","22,781",120
ACCT_888,Houston,TX,CO,BofA,Bank,ARM,150121,1,,,,,215000,$0.70,0.3,6.30%,"$176,891","36,800",145
ACCT_889,Houston,TX,CO,Chase,Bank,FR,550000,1,,,,,800000,$0.69,0.31,7.10%,"$224,700","22,781",120
ACCT_890,Houston,TX,CO,PHH,Mtg Company,FR,192172,1,,,,,196481,$0.98,0.02,7.10%,"$224,700","22,781",120
ACCT_891,Hoston,TX,CO,PHH,Mtg Company,ARM,240287,1,,,,,296515,$0.81,0.19,10.60%,"$43,125","15,373",197
ACCT_892,Houston,TX,CO,Wells,Bank,FR,150121,,1,,1,,160000,$0.94,0.06,7.10%,"$224,700","22,781",120
ACCT_893,Houston,TX,MF,EDS CU,Credit Union,FR,550000,,,1,,,650000,$0.85,0.15,7.20%,"$187,345","24,341",240
ACCT_894,HOUSTON,TX,SFA,National City,Bank,FR,192172,,,1,,1,196481,$0.98,0.02,7.10%,"$224,700","22,781",120
ACCT_895,HOUSTON,TX,SFA,National City,Bank,FR,150121,,1,,,,175000,$0.86,0.14,7.10%,"$224,700","22,781",120
ACCT_896,HOUSTON,TX,MF,Chase,Bank,FR,550000,1,,,,,700000,$0.79,0.21,7.10%,"$224,700","22,781",120
ACCT_897,Houston,TX,SFA,PHH,Mtg Company,ARM,250638,1,,,,,275977,$0.91,0.09,7.10%,"$224,700","22,781",120
ACCT_898,Houston,TX,SFA,Chase,Bank,ARM,240287,,,,,1,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_899,Houston,TX,MF,First Horizon,Mtg Company,ARM,150121,,,,1,,101982,$1.47,-0.47,7.10%,"$224,700","22,781",120
ACCT_900,Houston,TX,CO,First Horizon,Mtg Company,FR,550000,1,,,,,555555,$0.99,0.01,6.30%,"$176,891","36,800",145
ACCT_901,Houston,TX,CO,National City,Bank,FR,192172,1,,,,,196481,$0.98,0.02,7.10%,"$224,700","22,781",120
ACCT_902,Houston,TX,CO,EDS CU,Credit Union,ARM,150121,,1,,1,,210000,$0.72,0.29,7.10%,"$224,700","22,781",120
ACCT_903,Houston,TX,CO,PHH,Mtg Company,FR,550000,,,1,,,605000,$0.91,0.09,10.60%,"$43,125","15,373",197
ACCT_904,Houston,TX,CO,PHH,Mtg Company,FR,250638,1,,,,,275977,$0.91,0.09,7.10%,"$224,700","22,781",120
ACCT_905,Houston,TX,MF,BofA,Bank,FR,240287,,,,,1,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_906,Houston,TX,SFA,Fifth Third,Thrift,FR,325924,,,1,,,310281,$1.05,-0.05,7.10%,"$224,700","22,781",120
ACCT_907,Houston,TX,SFA,National City,Bank,FR,550000,,,,1,,449533,$1.22,-0.22,7.10%,"$224,700","22,781",120
ACCT_908,Houston,TX,MF,National City,Bank,ARM,192172,,,1,,,196481,$0.98,0.02,7.10%,"$224,700","22,781",120
ACCT_909,Houston,TX,SFA,Wells,Bank,ARM,150121,1,,,,,210000,$0.72,0.29,7.10%,"$224,700","22,781",120
ACCT_910,Houston,TX,SFA,First Horizon,Mtg Company,ARM,550000,1,,,,,570200,$0.97,0.04,7.20%,"$187,345","24,341",240
ACCT_911,Houston,TX,MF,BofA,Bank,FR,192172,1,,,,,196481,$0.98,0.02,7.10%,"$224,700","22,781",120
