PropID,City,State,Property Type,Servicer,Servicer Type,Loan Type,UnPaid Balance,Current Prop Value,Loan Status
155,Atlanta,GA,MF,Chase,Bank,ARM,250638,275977,0
156,Atlanta,GA,MF,First Horizon,Mtg Company,ARM,240287,296515,0
157,Atlanta,GA,CO,National City,Bank,ARM,150121,101982,30
157,Atlanta,GA,CO,National City,Bank,ARM,150121,101982,90
158,Atlanta,GA,SFA,National City,Bank,FR,550000,449533,60
159,Baltimore,MD,SFA,National City,Bank,FR,192172,196481,60
160,Baltimore,MD,CO,BofA,Bank,FR,150121,101982,90
161,Baltimore,MD,MF,Wells,Bank,FR,550000,449533,60
162,Baltimore,md,SFA,PHH,Mtg Company,FR,250638,275977,0
163,Baltimore,MD,CO,National City,Bank,FR,240287,296515,REO
164,Baltimore,MD,MF,BofA,Bank,FR,150121,200000,0
165,Boston,MA,SFA,Wells,Bank,FR,550000,650000,0
166,Boston,MA,SFA,Wells,Bank,ARM,192172,196481,0
167,Boston,MA,SFA,Wells,Bank,FR,150121,230000,0
168,Boston,ma,SFA,PHH,Mtg Company,FR,550000,555000,30
169,Boston,ma,CO,Chase,Bank,FR,250638,275977,0
170,Boston,ma,MF,First Horizon,Mtg Company,FR,240287,296515,REO
171,Boston,ma,MF,Chase,Bank,FR,325924,340000,0
172,Boston,ma,CO,National City,Bank,ARM,550000,449533,90
173,Boston,ma,MF,EDS CU,Credit Union,ARM,192172,196481,30
174,Boston,ma,MF,PHH,Mtg Company,ARM,150121,215000,0
175,Boston,MA,CO,EDS CU,Credit Union,FR,550000,800000,0
176,Boston,MA,SFA,BofA,Bank,FR,192172,196481,0
177,Boston,MA,SFA,Fifth Third,Thrift,ARM,240287,296515,0
178,Boston,MA,SFA,National City,Bank,FR,150121,160000,30
178,Boston,MA,SFA,National City,Bank,FR,150121,160000,90
179,Boston,MA,SFA,Fifth Third,Thrift,FR,550000,650000,60
180,Boston,MA,SFA,Wells,Bank,FR,192172,196481,60
180,Boston,MA,SFA,Wells,Bank,FR,192172,196481,REO
181,Boston,MA,CO,First Horizon,Mtg Company,FR,150121,175000,30
182,Boston,MA,MF,BofA,Bank,FR,550000,700000,0
183,Boston,MA,MF,First Horizon,Mtg Company,ARM,250638,275977,0
184,Boston,MA,CO,Chase,Bank,ARM,240287,296515,REO
185,Boston,MA,MF,PHH,Mtg Company,ARM,150121,101982,90
186,Boston,MA,MF,Wells,Bank,FR,550000,555555,0
187,Boston,Ma,CO,First Horizon,Mtg Company,FR,192172,196481,0
188,Boston,Ma,SFA,First Horizon,Mtg Company,ARM,150121,210000,30
188,Boston,Ma,SFA,First Horizon,Mtg Company,ARM,150121,210000,90
189,Boston,Ma,SFA,Wells,Bank,FR,550000,605000,60
190,Boston,Ma,SFA,Fifth Third,Thrift,FR,250638,275977,0
191,Boston,MA,SFA,PHH,Mtg Company,FR,240287,296515,REO
192,Boston,MA,SFA,PHH,Mtg Company,FR,325924,310281,60
193,Boston,MA,CO,Chase,Bank,FR,550000,449533,90
194,Boston,MA,MF,First Horizon,Mtg Company,ARM,192172,196481,60
195,Boston,MA,MF,National City,Bank,ARM,150121,210000,0
196,Boston,MA,CO,National City,Bank,ARM,550000,570200,0
197,Boston,MA,MF,EDS CU,Credit Union,FR,192172,196481,0
198,Boston,MA,MF,PHH,Mtg Company,FR,240287,296515,0
199,Boston,MA,CO,BofA,Bank,ARM,325924,219316,30
200,Boston,MA,SFA,BofA,Bank,FR,250638,275977,0
201,Boston,MA,SFA,Fifth Third,Thrift,FR,192172,196481,30
202,Boston,MA,SFA,National City,Bank,FR,150121,101982,30
203,Boston,MA,SFA,Wells,Bank,FR,550000,449533,90
204,Boston,MA,SFA,First Horizon,Mtg Company,FR,192172,160000,60
205,Boston,MA,CO,First Horizon,Mtg Company,ARM,240287,296515,0
206,Boston,MA,MF,BofA,Bank,ARM,325924,310281,60
207,Boston,MA,MF,Fifth Third,Thrift,ARM,250638,275977,0
208,Boston,MA,CO,BofA,Bank,FR,192172,196481,60
209,Boston,MA,MF,EDS CU,Credit Union,FR,150121,101982,30
210,Boston,MA,MF,EDS CU,Credit Union,ARM,550000,449533,90
211,Boston,MA,CO,First Horizon,Mtg Company,FR,192172,196481,30
212,Boston,MA,SFA,Wells,Bank,FR,150121,101982,30
213,Boston,MA,SFA,Fifth Third,Thrift,FR,325924,310281,0
214,Boston,MA,SFA,Fifth Third,Thrift,FR,250638,275977,0
215,Boston,MA,SFA,PHH,Mtg Company,FR,240287,296515,0
216,Boston,MA,SFA,Chase,Bank,ARM,150121,101982,30
216,Boston,MA,SFA,Chase,Bank,ARM,150121,101982,90
217,Boston,MA,CO,First Horizon,Mtg Company,ARM,550000,449533,60
218,Boston,MA,MF,First Horizon,Mtg Company,ARM,192172,196481,60
219,Boston,MA,MF,National City,Bank,FR,150121,101982,90
220,Boston,MA,CO,EDS CU,Credit Union,FR,550000,449533,60
221,Boston,MA,MF,PHH,Mtg Company,ARM,250638,275977,0
222,Boston,MA,MF,PHH,Mtg Company,FR,240287,296515,REO
223,Boston,MA,CO,BofA,Bank,FR,150121,200000,0
224,Boston,MA,SFA,Fifth Third,Thrift,FR,550000,650000,0
225,Boston,MA,SFA,National City,Bank,FR,192172,196481,0
226,Boston,MA,SFA,National City,Bank,FR,150121,230000,0
227,Boston,MA,SFA,EDS CU,Credit Union,ARM,550000,555000,30
228,Boston,MA,SFA,National City,Bank,ARM,250638,275977,0
229,Boston,MA,CO,Chase,Bank,ARM,240287,296515,REO
230,Boston,MA,MF,National City,Bank,FR,325924,340000,0
231,Boston,MA,MF,Fifth Third,Thrift,FR,550000,449533,90
232,Boston,MA,CO,BofA,Bank,ARM,192172,196481,30
233,Boston,MA,MF,EDS CU,Credit Union,FR,150121,215000,0
234,Boston,MA,MF,First Horizon,Mtg Company,FR,550000,800000,0
235,Boston,MA,CO,First Horizon,Mtg Company,FR,192172,196481,0
236,Boston,MA,SFA,Wells,Bank,FR,240287,296515,0
237,Boston,MA,SFA,Fifth Third,Thrift,FR,192172,196481,30
238,Boston,MA,SFA,PHH,Mtg Company,ARM,240287,296515,0
239,Boston,MA,SFA,PHH,Mtg Company,ARM,150121,160000,30
239,Boston,MA,SFA,PHH,Mtg Company,ARM,150121,160000,90
240,Boston,MA,SFA,Chase,Bank,ARM,550000,650000,60
241,Boston,MA,CO,First Horizon,Mtg Company,FR,192172,196481,60
241,Boston,MA,CO,First Horizon,Mtg Company,FR,192172,196481,REO
242,Boston,MA,MF,National City,Bank,FR,150121,175000,30
243,Boston,MA,MF,National City,Bank,ARM,550000,700000,0
244,Charlotte,NC,CO,BofA,Bank,FR,250638,275977,0
245,Charlotte,NC,CO,BofA,Bank,FR,240287,296515,REO
246,Charlotte,NC,SFA,First Horizon,Mtg Company,FR,150121,101982,90
247,Charlotte,NC,CO,First Horizon,Mtg Company,ARM,550000,555555,0
248,Charlotte,NC,CO,Wells,Bank,FR,192172,196481,0
249,Charlotte,NC,SFA,Fifth Third,Thrift,FR,150121,210000,30
249,Charlotte,NC,SFA,Fifth Third,Thrift,FR,150121,210000,90
250,Charlotte,NC,MF,PHH,Mtg Company,FR,550000,605000,60
251,Charlotte,NC,MF,PHH,Mtg Company,FR,250638,275977,0
252,Charlotte,NC,SFA,Chase,Bank,FR,240287,296515,REO
253,Charlotte,NC,SFA,First Horizon,Mtg Company,ARM,325924,310281,60
254,Charlotte,NC,MF,National City,Bank,ARM,550000,449533,90
255,Charlotte,NC,SFA,National City,Bank,FR,192172,196481,60
256,Charlotte,NC,CO,EDS CU,Credit Union,FR,150121,210000,0
257,Charlotte,NC,CO,PHH,Mtg Company,FR,550000,570200,0
258,Charlotte,NC,SFA,BofA,Bank,ARM,192172,196481,0
259,Charlotte,NC,CO,BofA,Bank,FR,240287,296515,0
260,Charlotte,NC,CO,Fifth Third,Thrift,FR,325924,219316,30
261,Charlotte,NC,SFA,National City,Bank,FR,250638,275977,0
262,Charlotte,NC,MF,Wells,Bank,FR,192172,196481,30
263,Charlotte,NC,MF,Wells,Bank,FR,150121,101982,30
264,Charlotte,NC,SFA,First Horizon,Mtg Company,ARM,550000,449533,90
265,Charlotte,NC,SFA,BofA,Bank,ARM,192172,160000,60
266,Charlotte,NC,MF,Fifth Third,Thrift,FR,240287,296515,0
267,Charlotte,NC,SFA,BofA,Bank,FR,325924,310281,60
268,Charlotte,NC,CO,BofA,Bank,FR,250638,275977,0
269,Charlotte,NC,CO,EDS CU,Credit Union,ARM,192172,196481,60
270,Charlotte,NC,SFA,First Horizon,Mtg Company,FR,150121,101982,30
271,Charlotte,NC,CO,Wells,Bank,FR,550000,449533,90
272,Charlotte,NC,CO,Wells,Bank,FR,192172,196481,30
273,Charlotte,NC,SFA,Fifth Third,Thrift,FR,150121,101982,30
274,Charlotte,NC,MF,PHH,Mtg Company,FR,325924,310281,0
275,Charlotte,NC,MF,Chase,Bank,ARM,250638,275977,0
276,Charlotte,NC,SFA,First Horizon,Mtg Company,ARM,240287,296515,0
277,Charlotte,NC,SFA,First Horizon,Mtg Company,FR,150121,101982,30
277,Charlotte,nc,SFA,First Horizon,Mtg Company,FR,150121,101982,90
278,Charlotte,NC,MF,National City,Bank,FR,550000,449533,60
279,Charlotte,nc,SFA,EDS CU,Credit Union,FR,192172,196481,60
280,Charlotte,NC,CO,PHH,Mtg Company,ARM,150121,101982,90
281,Charlotte,NC,CO,PHH,Mtg Company,FR,550000,449533,60
282,Charlotte,nc,SFA,BofA,Bank,FR,250638,275977,0
283,Charlotte,NC,CO,Fifth Third,Thrift,FR,240287,296515,REO
284,Charlotte,NC,CO,National City,Bank,FR,150121,200000,0
285,Charlotte,NC,SFA,National City,Bank,FR,550000,650000,0
286,Charlotte,NC,MF,EDS CU,Credit Union,ARM,192172,196481,0
287,Charlotte,NC,MF,National City,Bank,ARM,150121,230000,0
288,Charlotte,NC,SFA,Chase,Bank,FR,550000,555000,30
289,Charlotte,NC,SFA,National City,Bank,FR,250638,275977,0
290,Charlotte,NC,MF,Fifth Third,Thrift,FR,240287,296515,REO
291,Charlotte,NC,SFA,BofA,Bank,ARM,325924,340000,0
292,Charlotte,NC,CO,EDS CU,Credit Union,FR,550000,449533,90
293,Charlotte,NC,CO,BofA,Bank,FR,192172,196481,30
294,Charlotte,NC,SFA,First Horizon,Mtg Company,FR,150121,215000,0
295,Charlotte,NC,CO,Wells,Bank,FR,550000,800000,0
296,Charlotte,NC,CO,Fifth Third,Thrift,FR,192172,196481,0
297,Charlotte,NC,SFA,Wells,Bank,ARM,240287,296515,0
298,Charlotte,NC,MF,PHH,Mtg Company,ARM,150121,160000,30
298,Charlotte,NC,MF,PHH,Mtg Company,ARM,150121,160000,90
299,Charlotte,NC,MF,Chase,Bank,FR,550000,650000,60
300,Charlotte,NC,SFA,First Horizon,Mtg Company,FR,192172,196481,60
300,Charlotte,NC,SFA,First Horizon,Mtg Company,FR,192172,196481,REO
301,Charlotte,NC,SFA,Chase,Bank,FR,150121,175000,30
302,Charlotte,NC,MF,National City,Bank,ARM,550000,700000,0
303,Charlotte,NC,SFA,EDS CU,Credit Union,FR,250638,275977,0
304,Charlotte,NC,CO,PHH,Mtg Company,FR,240287,296515,REO
305,Charlotte,NC,CO,Chase,Bank,FR,150121,101982,90
306,Charlotte,NC,SFA,Chase,Bank,FR,550000,555555,0
307,Charlotte,NC,CO,PHH,Mtg Company,FR,192172,196481,0
308,Charlotte,NC,CO,Wells,Bank,ARM,150121,210000,30
308,Charlotte,NC,CO,Wells,Bank,ARM,150121,210000,90
309,Charlotte,NC,SFA,EDS CU,Credit Union,ARM,550000,605000,60
310,Charlotte,NC,MF,EDS CU,Credit Union,FR,250638,275977,0
311,Charlotte,NC,MF,National City,Bank,FR,240287,296515,REO
312,Charlotte,NC,SFA,Chase,Bank,FR,325924,310281,60
313,Charlotte,NC,SFA,Fifth Third,Thrift,ARM,550000,449533,90
314,Charlotte,NC,MF,Fifth Third,Thrift,FR,192172,196481,60
315,Charlotte,NC,SFA,BofA,Bank,FR,150121,210000,0
316,Charlotte,NC,CO,EDS CU,Credit Union,FR,550000,570200,0
317,Charlotte,NC,CO,First Horizon,Mtg Company,FR,192172,196481,0
318,Charlotte,NC,SFA,First Horizon,Mtg Company,FR,240287,296515,0
319,Charlotte,NC,CO,Wells,Bank,ARM,325924,219316,30
320,Charlotte,NC,CO,Fifth Third,Thrift,ARM,250638,275977,0
321,Charlotte,NC,SFA,PHH,Mtg Company,FR,192172,196481,30
322,Charlotte,NC,MF,PHH,Mtg Company,FR,150121,101982,30
323,Chicago,IL,MF,EDS CU,Credit Union,FR,550000,449533,90
324,Chicago,IL,MF,EDS CU,Credit Union,ARM,192172,160000,60
325,Chicago,IL,MF,EDS CU,Credit Union,FR,240287,296515,0
326,Chicago,IL,MF,BofA,Bank,FR,325924,310281,60
327,Chicago,IL,SFA,Fifth Third,Thrift,FR,250638,275977,0
328,Chicago,IL,CO,National City,Bank,FR,192172,196481,60
329,Chicago,IL,SFA,Fifth Third,Thrift,FR,150121,101982,30
330,Chicago,IL,SFA,Wells,Bank,FR,550000,449533,90
331,Chicago,IL,CO,First Horizon,Mtg Company,ARM,192172,196481,30
332,Chicago,IL,CO,BofA,Bank,ARM,150121,101982,30
333,Chicago,IL,SFA,First Horizon,Mtg Company,FR,325924,310281,0
334,Chicago,IL,MF,Chase,Bank,FR,250638,275977,0
335,Chicago,IL,MF,PHH,Mtg Company,ARM,240287,296515,0
336,Chicago,IL,MF,Wells,Bank,FR,150121,101982,30
336,Chicago,IL,MF,Wells,Bank,FR,150121,101982,90
337,Chicago,IL,MF,PHH,Mtg Company,FR,550000,449533,60
338,Chicago,IL,MF,EDS CU,Credit Union,FR,192172,196481,60
339,Chicago,IL,SFA,National City,Bank,FR,150121,101982,90
340,Chicago,IL,CO,Chase,Bank,FR,550000,449533,60
341,Chicago,IL,SFA,National City,Bank,FR,250638,275977,0
342,Chicago,IL,SFA,Fifth Third,Thrift,ARM,240287,296515,REO
343,Chicago,IL,CO,BofA,Bank,ARM,150121,200000,0
344,Chicago,IL,CO,EDS CU,Credit Union,FR,550000,650000,0
345,Chicago,IL,SFA,National City,Bank,FR,192172,196481,0
346,Chicago,IL,MF,National City,Bank,ARM,150121,230000,0
347,Chicago,IL,MF,EDS CU,Credit Union,FR,550000,555000,30
348,Chicago,IL,MF,PHH,Mtg Company,FR,250638,275977,0
349,Chicago,IL,MF,BofA,Bank,FR,240287,296515,REO
350,Chicago,IL,MF,BofA,Bank,FR,325924,340000,0
351,Chicago,IL,SFA,Fifth Third,Thrift,FR,550000,449533,90
352,Chicago,IL,CO,National City,Bank,FR,192172,196481,30
353,Chicago,IL,SFA,Wells,Bank,ARM,150121,215000,0
354,Chicago,IL,SFA,First Horizon,Mtg Company,ARM,550000,800000,0
355,Chicago,IL,CO,First Horizon,Mtg Company,FR,192172,196481,0
356,Chicago,IL,CO,BofA,Bank,FR,240287,296515,0
357,Chicago,IL,SFA,Chase,Bank,ARM,150121,160000,30
357,Chicago,IL,SFA,Chase,Bank,ARM,150121,160000,90
358,Chicago,IL,MF,PHH,Mtg Company,FR,550000,650000,60
359,Chicago,IL,MF,PHH,Mtg Company,FR,192172,196481,60
359,Chicago,IL,MF,PHH,Mtg Company,FR,192172,196481,REO
360,Chicago,IL,MF,Wells,Bank,FR,150121,175000,30
361,Chicago,IL,MF,EDS CU,Credit Union,FR,550000,700000,0
362,Chicago,IL,MF,National City,Bank,FR,250638,275977,0
363,Chicago,IL,SFA,National City,Bank,FR,240287,296515,REO
364,Chicago,IL,CO,Chase,Bank,ARM,150121,101982,90
365,Chicago,IL,SFA,PHH,Mtg Company,ARM,550000,555555,0
366,Chicago,IL,SFA,Chase,Bank,FR,192172,196481,0
367,Chicago,IL,CO,First Horizon,Mtg Company,FR,150121,210000,30
367,Chicago,IL,CO,First Horizon,Mtg Company,FR,150121,210000,90
368,Chicago,IL,CO,First Horizon,Mtg Company,ARM,550000,605000,60
369,Chicago,IL,SFA,National City,Bank,FR,250638,275977,0
370,Chicago,IL,MF,EDS CU,Credit Union,FR,240287,296515,REO
371,Chicago,IL,MF,PHH,Mtg Company,FR,325924,310281,60
372,Chicago,IL,MF,PHH,Mtg Company,FR,550000,449533,90
373,Chicago,IL,MF,BofA,Bank,FR,192172,196481,60
374,Chicago,IL,MF,Fifth Third,Thrift,FR,150121,210000,0
375,Chicago,IL,SFA,National City,Bank,ARM,550000,570200,0
376,Chicago,IL,CO,National City,Bank,ARM,192172,196481,0
377,Chicago,IL,SFA,Wells,Bank,FR,240287,296515,0
378,Chicago,IL,SFA,First Horizon,Mtg Company,FR,325924,219316,30
379,Chicago,IL,CO,BofA,Bank,ARM,250638,275977,0
380,Chicago,IL,CO,BofA,Bank,FR,192172,196481,30
381,Chicago,IL,SFA,Chase,Bank,FR,150121,101982,30
382,Chicago,IL,MF,PHH,Mtg Company,FR,550000,449533,90
383,Chicago,IL,MF,Wells,Bank,FR,192172,160000,60
384,Chicago,IL,MF,First Horizon,Mtg Company,FR,240287,296515,0
385,Chicago,IL,MF,First Horizon,Mtg Company,FR,325924,310281,60
386,Chicago,IL,MF,Wells,Bank,ARM,250638,275977,0
387,Chicago,IL,SFA,Fifth Third,Thrift,ARM,192172,196481,60
388,Chicago,IL,CO,PHH,Mtg Company,FR,150121,101982,30
389,Chicago,IL,SFA,PHH,Mtg Company,FR,550000,449533,90
390,Chicago,IL,SFA,Chase,Bank,ARM,192172,196481,30
391,Chicago,IL,CO,First Horizon,Mtg Company,FR,150121,101982,30
392,Chicago,IL,CO,National City,Bank,FR,325924,310281,0
393,Chicago,IL,SFA,National City,Bank,FR,250638,275977,0
394,Chicago,IL,MF,EDS CU,Credit Union,FR,240287,296515,0
395,Chicago,IL,MF,PHH,Mtg Company,FR,150121,101982,30
395,Chicago,IL,MF,PHH,Mtg Company,FR,150121,101982,90
396,Chicago,IL,MF,BofA,Bank,FR,550000,449533,60
397,Chicago,IL,MF,BofA,Bank,ARM,192172,196481,60
398,Chicago,IL,MF,Fifth Third,Thrift,ARM,150121,101982,90
399,Chicago,IL,SFA,National City,Bank,FR,550000,449533,60
400,Chicago,IL,CO,Wells,Bank,FR,250638,275977,0
401,Chicago,IL,SFA,Wells,Bank,ARM,240287,296515,REO
402,Cincinatti,OH,MF,Fifth Third,Thrift,ARM,150121,200000,0
403,Cincinatti,OH,CO,Fifth Third,Thrift,FR,550000,650000,0
404,Cincinatti,OH,CO,Wells,Bank,FR,192172,196481,0
405,Cincinatti,OH,MF,Wells,Bank,ARM,150121,230000,0
406,Cincinatti,OH,MF,First Horizon,Mtg Company,FR,550000,555000,30
407,Cincinatti,OH,CO,BofA,Bank,ARM,250638,275977,0
408,Cincinatti,OH,SFA,Chase,Bank,FR,240287,296515,REO
409,Cincinatti,OH,SFA,Chase,Bank,FR,325924,340000,0
410,Cincinatti,OH,SFA,PHH,Mtg Company,FR,550000,449533,90
411,Cincinatti,OH,SFA,Wells,Bank,FR,192172,196481,30
412,Cincinatti,OH,SFA,EDS CU,Credit Union,ARM,150121,215000,0
413,Cincinatti,OH,CO,EDS CU,Credit Union,ARM,550000,800000,0
414,Cincinatti,OH,MF,National City,Bank,FR,192172,196481,0
415,Cincinatti,OH,CO,Chase,Bank,FR,240287,296515,0
416,Cincinatti,OH,CO,Fifth Third,Thrift,ARM,150121,160000,30
416,Cincinatti,OH,CO,Fifth Third,Thrift,ARM,150121,160000,90
417,Cincinatti,OH,MF,Fifth Third,Thrift,FR,550000,650000,60
418,Cincinatti,oh,MF,BofA,Bank,ARM,192172,196481,60
418,Cincinatti,OH,MF,BofA,Bank,ARM,192172,196481,REO
419,Cincinatti,Oh,CO,EDS CU,Credit Union,FR,150121,175000,30
420,Cincinatti,OH,SFA,First Horizon,Mtg Company,FR,550000,700000,0
421,Cincinatti,OH,SFA,First Horizon,Mtg Company,FR,250638,275977,0
422,Cincinatti,OH,SFA,Wells,Bank,FR,240287,296515,REO
423,Cincinatti,Oh,SFA,Fifth Third,Thrift,ARM,150121,101982,90
424,Cincinatti,oh,SFA,BofA,Bank,ARM,550000,555555,0
425,Cincinatti,OH,CO,Fifth Third,Thrift,FR,192172,196481,0
426,Cincinatti,OH,MF,National City,Bank,FR,150121,210000,30
426,Cincinatti,OH,MF,National City,Bank,FR,150121,210000,90
427,Cincinatti,OH,CO,National City,Bank,ARM,550000,605000,60
428,Cincinatti,OH,CO,Wells,Bank,FR,250638,275977,0
429,Cincinatti,OH,MF,First Horizon,Mtg Company,ARM,240287,296515,REO
430,Cincinatti,OH,MF,BofA,Bank,FR,325924,310281,60
431,Cincinatti,OH,CO,BofA,Bank,FR,550000,449533,90
432,Cincinatti,OH,SFA,Chase,Bank,FR,192172,196481,60
433,Cincinatti,OH,SFA,PHH,Mtg Company,FR,150121,210000,0
434,Cincinatti,OH,SFA,Wells,Bank,ARM,550000,570200,0
435,Cincinatti,OH,SFA,Wells,Bank,ARM,192172,196481,0
436,Cincinatti,OH,SFA,EDS CU,Credit Union,FR,240287,296515,0
437,Cincinatti,OH,CO,National City,Bank,FR,325924,219316,30
438,Cincinatti,OH,MF,Chase,Bank,ARM,250638,275977,0
439,Cincinatti,OH,CO,Chase,Bank,FR,192172,196481,30
440,Cincinatti,OH,CO,Fifth Third,Thrift,ARM,150121,101982,30
441,Cincinatti,OH,MF,BofA,Bank,FR,550000,449533,90
442,Cincinatti,OH,MF,EDS CU,Credit Union,FR,192172,160000,60
443,Cincinatti,OH,CO,EDS CU,Credit Union,FR,240287,296515,0
444,Cincinatti,OH,SFA,National City,Bank,FR,325924,310281,60
445,Cincinatti,OH,SFA,EDS CU,Credit Union,ARM,250638,275977,0
446,Cincinatti,OH,SFA,PHH,Mtg Company,ARM,192172,196481,60
447,Cincinatti,OH,SFA,EDS CU,Credit Union,FR,150121,101982,30
448,Cincinatti,OH,SFA,BofA,Bank,FR,550000,449533,90
449,Cincinatti,OH,CO,Fifth Third,Thrift,ARM,192172,196481,30
450,Cincinatti,OH,MF,National City,Bank,FR,150121,101982,30
451,Cincinatti,OH,CO,Fifth Third,Thrift,ARM,325924,310281,0
452,Cincinatti,OH,CO,Wells,Bank,FR,250638,275977,0
